Dataset samples: 510
Training samples: 387
Test samples: 123
######################Training Started######################
####################Epoch 2 Model Saved#####################
Average Training Loss of Epoch 3: 0.606234 | Acc: 58.40%
Average Testing Loss of Epoch 3: 0.550164 | Acc: 80.49%
####################Epoch 3 Model Saved#####################
Average Training Loss of Epoch 4: 0.542275 | Acc: 63.82%
Average Testing Loss of Epoch 4: 0.542799 | Acc: 77.24%
####################Epoch 4 Model Saved#####################
Average Training Loss of Epoch 5: 0.501057 | Acc: 66.67%
Average Testing Loss of Epoch 5: 0.485541 | Acc: 88.62%
####################Epoch 5 Model Saved#####################
Average Training Loss of Epoch 6: 0.471278 | Acc: 69.25%
Average Testing Loss of Epoch 6: 0.441611 | Acc: 95.93%
####################Epoch 6 Model Saved#####################
Average Training Loss of Epoch 7: 0.429480 | Acc: 76.49%
Average Testing Loss of Epoch 7: 0.410765 | Acc: 91.87%
####################Epoch 7 Model Saved#####################
Average Training Loss of Epoch 8: 0.412918 | Acc: 77.00%
Average Testing Loss of Epoch 8: 0.395302 | Acc: 93.50%
####################Epoch 8 Model Saved#####################
Average Training Loss of Epoch 9: 0.358777 | Acc: 81.91%
Average Testing Loss of Epoch 9: 0.406054 | Acc: 86.99%
####################Epoch 9 Model Saved#####################
Average Training Loss of Epoch 10: 0.360444 | Acc: 83.72%
Average Testing Loss of Epoch 10: 0.355575 | Acc: 95.93%
####################Epoch 10 Model Saved####################
Average Training Loss of Epoch 11: 0.336365 | Acc: 85.79%
Average Testing Loss of Epoch 11: 0.351128 | Acc: 92.68%
####################Epoch 11 Model Saved####################
Average Training Loss of Epoch 12: 0.352338 | Acc: 88.37%
Average Testing Loss of Epoch 12: 0.342290 | Acc: 91.87%
####################Epoch 12 Model Saved####################
Average Training Loss of Epoch 13: 0.326051 | Acc: 89.41%
Average Testing Loss of Epoch 13: 0.312797 | Acc: 97.56%
####################Epoch 13 Model Saved####################
Average Training Loss of Epoch 14: 0.330305 | Acc: 90.18%
